id,feature,source_files,user_story,expected_behaviour,status,evidence,errors,fix_notes,retest_status
SG-001,Planner trigger recognition,SKILL.md,"As Chip, I can invoke chip-supergoal with /chip-supergoal, SG, plan-and-ship, standing continuation, or risky refactor wording.",The skill is selected for non-trivial planning and standing SuperGoal continuation/repair; tiny direct tasks are refused as too small for SG.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-002,Plan-only boundary,SKILL.md,"As Chip, I can ask for a SuperGoal package without the planner executing implementation phases.","Planner may inspect/research/write artifacts, but must not perform numbered implementation phase execution.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-003,Canonical launch surface,SKILL.md; templates/LAUNCH_GOAL.md; templates/ROADMAP.md,"As Chip, I get exactly one human-facing launch body.",Only LAUNCH_GOAL.md contains an actual line starting SUPERGOAL_GOAL_BODY:; ROADMAP/THINKING do not hide alternate launch bodies.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-004,Standard /goal handoff,SKILL.md; templates/LAUNCH_GOAL.md; references/upstream-goal-compatibility.md,"As Chip, I can launch one standard /goal that reads STATE.md and continues to audit.",Launch card uses upstream-compatible /goal contract; no chained /goal bodies.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-005,Generated package completeness,SKILL.md; references/artifact-schemas.md,"As Chip, I get a complete disk-backed .supergoal package.","Package includes THINKING, optional RESEARCH, LOOP_DESIGN, ROADMAP, STATE, PROTOCOL, LAUNCH_GOAL, phase specs, scripts/repo-state.sh, and delivery scripts when requested.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-006,Strict phase spec schema,SKILL.md; references/phase-design.md; scripts/validate-phase.sh,"As an executor, I can validate every phase before running it.","Every phase has SUPERGOAL_PHASE_START metadata, Work, Acceptance criteria, Mandatory commands, Evidence required headings; validate-phase.sh fails malformed specs.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-007,RPD plan review embedded,SKILL.md; references/rpd-review-gates.md,"As Chip, every plan gets a senior review before handoff.",RPD_PLAN_REVIEW runs in Stage 6 and findings mutate artifacts or are marked checked-holds with evidence tier.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-008,Risky phase RPD metadata,SKILL.md; references/rpd-review-gates.md; references/production-safety.md,"As Chip, risky work gets explicit senior gate coverage.",Auth/payments/secrets/prod/migrations/gateway/cron/model/public/destructive phases set RPD required yes with focus and evidence.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-009,Final audit completion gate,SKILL.md; templates/PROTOCOL.md; references/final-audit-packaging.md,"As Chip, SG cannot claim done before audit.","Final completion re-reads ROADMAP, verifies deliverables, runs aggregate checks, emits RPD_FINAL_REVIEW, AUDIT_COMPLETE, then SUPERGOAL_RUN_COMPLETE.",passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-010,Telegram delivery as blocking done criterion,SKILL.md; templates/delivery/send-review-md-files.sh; templates/delivery/send-final-artifacts.sh,"As Chip, requested Telegram files are real attachments with receipts.",Review/final file delivery creates receipts and verifies ok=true/sent=true before claiming gate complete.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-011,Two allowed human gates,SKILL.md; references/core-planning-contract.md,"As Chip, SG asks only where it matters.",Only Stage 1 material clarifying questions and Stage 6 go/no-go are human gates by default.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
SG-012,Stage 0 live skill dir resolution,SKILL.md; references/skill-maintenance.md; references/category-backed-skill-path-validation.md,"As Chip, planner uses the live loaded skill, not stale paths.",Stage 0 resolves live skill_dir and records skill path/context notes before trusting old locations.,passed,scripts/test-user-stories.py targeted assertion passed,,,passed
